id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
1541,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Puma Men's Ballistic Spike White Green Shoe
1546,Men,Footwear,Shoes,Casual Shoes,White,Fall,2010.0,Casual,Puma Men's Furore White Shoe
1579,Men,Apparel,Topwear,Jackets,Grey,Fall,2010.0,Sports,Domyos Men Grey Second Skin Jacket
1584,Unisex,Apparel,Topwear,Jackets,White,Summer,2011.0,Casual,Domyos Unisex Feather-light Jacket
1570,Women,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Artengo Women Tennis Singlet
1577,Unisex,Accessories,Headwear,Caps,Green,Fall,2010.0,Sports,Inesis  Slim Shady Cap
1583,Women,Apparel,Bottomwear,Swimwear,Black,Fall,2010.0,Sports,Nabaiji Women Black Swimsuit
1548,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Puma Men's Cell Exsis Sneaker
1582,Unisex,Apparel,Bottomwear,Swimwear,Black,Summer,2011.0,Sports,Nabaiji Unisex Black Silicone Swimming Cap
1549,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Puma Men's Jiyu Slip On Sneaker
1571,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Kalenji Men's Super Soft Sports Shoes
1547,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2010.0,Casual,Puma Men's Ducati Sneaker
1578,Men,Apparel,Topwear,Tshirts,Red,Fall,2010.0,Sports,Domyos Men Good Stroke Red T-shirt
1540,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Casual,Puma Men Ferrari Vintage Black Polo T-shirt
1596,Men,Accessories,Water Bottle,Water Bottle,Pink,Fall,2010.0,Sports,Quechua Easy-to-Carry Pink Sipper
1562,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010.0,Sports,Quechua Men Sweat Proof Grey T-shirt
1565,Unisex,Accessories,Bags,Backpacks,Green,Summer,2011.0,Travel,Quechua Green Light Backpack
1591,Men,Apparel,Bottomwear,Shorts,Red,Fall,2010.0,Sports,Kipsta Men Red Shorts
1553,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010.0,Sports,Puma Power Cat Hard Ground Football
1554,Unisex,Accessories,Water Bottle,Water Bottle,Blue,Fall,2010.0,Casual,Quechua  Blue Sipper
1538,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Casual,Puma Men Ferrari Track Black T-shirt
1536,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Puma Men Black Net Jersey
1555,Unisex,Accessories,Water Bottle,Water Bottle,Purple,Fall,2010.0,Sports,Quechua Red Sipper
1552,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010.0,Sports,Puma Power Cat Trainer-WR Football
1590,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2010.0,Sports,Kipsta Men's F300 Football Shoe
1563,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Sports,Quechua Men Sweat Proof Blue T-shirt
1537,Men,Apparel,Topwear,Tshirts,Red,Fall,2010.0,Sports,Puma Men Red Net Jersey
1539,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010.0,Casual,Puma Men Ferrari Grey T-shirt
1545,Men,Footwear,Shoes,Casual Shoes,White,Fall,2010.0,Casual,Puma Men's Speed Cat Shoe
1542,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Puma Men's Ballistic Rubber Shoe
1580,Women,Apparel,Bottomwear,Swimwear,Black,Fall,2010.0,Sports,Nabaiji Women Cross-back Swimsuit
1587,Men,Footwear,Shoes,Sports Shoes,White,Spring,2010.0,Sports,Kipsta Men Superfit Football White Shoe
1573,Women,Apparel,Bottomwear,Track Pants,Grey,Fall,2010.0,Sports,Kalenji Women Athletes Grey Track Pants
1572,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2010.0,Sports,Kalenji Mens Essential Training Track Pants
1581,Unisex,Accessories,Headwear,Caps,Pink,Summer,2011.0,Sports,Nabaiji Unisex Silicone Swimming Cap
1575,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Kipsta Men Sports White T-shirt
1543,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2010.0,Casual,Puma Men Basket-Biz Sneaker
1588,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Casual,Domyos Men White Dry-Fit T-shirt
1544,Men,Footwear,Shoes,Casual Shoes,White,Fall,2010.0,Casual,Puma Men's Basket Bump Sneaker
1535,Unisex,Accessories,Headwear,Caps,Black,Fall,2010.0,Sports,Puma Unisex Logo Cap
1559,Unisex,Accessories,Bags,Backpacks,Blue,Summer,2011.0,Travel,Quechua Blue Light Backpack
1566,Men,Accessories,Headwear,Caps,Black,Summer,2011.0,Sports,Artengo Men Black Cap
1592,Men,Footwear,Shoes,Sports Shoes,Red,Summer,2011.0,Sports,Kipsta Men's Superfit Football Red Shoe
1595,Men,Apparel,Topwear,Tshirts,Black,Spring,2010.0,Sports,Domyos Men Good Stroke Black T-shirt
1561,Women,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,Quechua Women Sweat Proof White T-shirt
1557,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011.0,Travel,Quechua Spacious Blue-Black Backpack
1550,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010.0,Sports,Puma Cat Trainer-WBL Football
1534,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Casual,Puma Men Black Leaping Cat T-shirt
1551,Unisex,Sporting Goods,Sports Equipment,Footballs,Orange,Fall,2010.0,Sports,Puma Power Cat Trainer-OB Football
1569,Men,Apparel,Bottomwear,Shorts,Black,Fall,2010.0,Sports,Artengo Men Black Tennis Shorts
1556,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011.0,Sports,Quechua Forclaz Large  Backpack - 50 ltr Orange
1594,Unisex,Footwear,Shoes,Casual Shoes,Grey,Fall,2012.0,Casual,Newfeel Unisex Grey Mesh Lightweight Shoe
1558,Unisex,Accessories,Water Bottle,Water Bottle,Blue,Fall,2010.0,Sports,Quechua Easy-to-Carry Blue Water Bottle
